ID,type,http__www_w3_org_1999_02_22-rdf-syntax-ns_type,http__purl_org_dc_terms_description,http__www_w3_org_2004_02_skos_core_member,http__www_w3_org_2004_02_skos_core_definition,http__www_w3_org_2004_02_skos_core_inScheme,http__www_w3_org_2004_02_skos_core_narrower,http__www_w3_org_2004_02_skos_core_prefLabel,http__www_w3_org_2004_02_skos_core_closeMatch,http__www_w3_org_2004_02_skos_core_broader
https://aphia.org/ns/traits/feedingtype#,collection,,"A mixture of the feeding method/behaviour (how the organism gathers food, and from where; e.g. predator) and the food type/diet (what it feeds on; e.g. carnivore) of an organism.",https://aphia.org/ns/traits/feedingtype#epigrowth_feeder,,,,,https://kos.lifewatch.eu/thesauri/traits/c_97b45c7c,
https://aphia.org/ns/traits/feedingtype#ectoparasitic,concept,https://aphia.org/ns/attribute-trait/Trait,,,"A parasite that lives on the outer surface of its host, ectosite; epiparasite; episite; exoparasite; cf. endoparasite.",https://aphia.org/ns/traits/,,Ectoparasitic,https://kos.lifewatch.eu/thesauri/traits/c_536d4a16,https://aphia.org/ns/traits/feedingtype#parasitic
https://aphia.org/ns/traits/feedingtype#detritus_feeder,concept,https://aphia.org/ns/attribute-trait/Trait,,,Any organism that feeds on fragmented particulate organic matter (detritus); detritivore.,https://aphia.org/ns/traits/,,Detritus feeder,https://kos.lifewatch.eu/thesauri/traits/c_32e4af95,
https://aphia.org/ns/traits/feedingtype#predator,concept,https://aphia.org/ns/attribute-trait/Trait,,,"Any organism that feeds by preying on other organisms, killing them for food.",https://aphia.org/ns/traits/,https://aphia.org/ns/traits/feedingtype#predator_on_mobile_prey,Predator,https://kos.lifewatch.eu/thesauri/traits/c_3330cc8d,
https://aphia.org/ns/traits/feedingtype#endoparasitic,concept,https://aphia.org/ns/attribute-trait/Trait,,,An internal parasite which lives within the organs or tissues of its host; endosite; entoparasite; cf. ectoparasite.,https://aphia.org/ns/traits/,,Endoparasitic,https://kos.lifewatch.eu/thesauri/traits/c_e5726670,https://aphia.org/ns/traits/feedingtype#parasitic
https://aphia.org/ns/traits/feedingtype#filter_feeder,concept,https://aphia.org/ns/attribute-trait/Trait,,,Any animal that feeds by filtering suspended particulate organic matter from water.,https://aphia.org/ns/traits/,,Filter feeder,https://kos.lifewatch.eu/thesauri/traits/c_7a6a2248,
https://aphia.org/ns/traits/feedingtype#grazer_on_phanerogams,concept,https://aphia.org/ns/attribute-trait/Trait,,,"Grazing on phanerogams. Phanerogams are all seed-bearing plants (Lawrence, 2005).",https://aphia.org/ns/traits/,,"Grazer, on phanerogams",,https://aphia.org/ns/traits/feedingtype#grazer
https://aphia.org/ns/traits/feedingtype#facultative_suspension_feeder,concept,https://aphia.org/ns/attribute-trait/Trait,,,"Facultative suspension feeder. Some species (e.g. polychaetes Nereis diversicolor and Pygospio elegans, gastropods Valvata piscinalis and Viviparus viviparus, bivalve Macoma balthica, etc) are known to use more than one feeding mode, e.g. to get particles from the water column (by filtering or using mucus nets) and also collect detritus from the surface of the bottom sediments (Fauchald and Jumars 1979; Kuznetzov 1980; Tsikhon-Lukanina 1987). These species were defined as “facultative suspension-feeders” to distinguish them from those which exclusively suspension-feed, i.e. “obligatory suspension-feeders”, such as the bivalve Mytilus edulis trossulus, the barnacle Balanus improvisus or the bryozoan Electra crustulenta.",https://aphia.org/ns/traits/,,"Suspension feeder, facultative",,https://aphia.org/ns/traits/feedingtype#suspension_feeder
https://aphia.org/ns/traits/feedingtype#parasitic,concept,https://aphia.org/ns/attribute-trait/Trait,,,"Any organism that is intimately associated with, and metabolically dependent upon another living organism (the host) for completion of its life cycle, and which is typically detrimental to the host to a greater or lesser extent.",https://aphia.org/ns/traits/,https://aphia.org/ns/traits/feedingtype#endocommensal,Parasitic,https://kos.lifewatch.eu/thesauri/traits/c_059f2729,
https://aphia.org/ns/traits/feedingtype#suspension_feeder,concept,https://aphia.org/ns/attribute-trait/Trait,,,Any organism that feeds on particulate organic matter suspended in water.,https://aphia.org/ns/traits/,https://aphia.org/ns/traits/feedingtype#facultative_suspension_feeder,Suspension feeder,https://kos.lifewatch.eu/thesauri/traits/c_7a6a2248,
https://aphia.org/ns/traits/feedingtype#deposit_feeder,concept,https://aphia.org/ns/attribute-trait/Trait,,,Any organism that feeds on fragmented particulate organic matter in or on the substratum; a detritivorous organism.,https://aphia.org/ns/traits/,https://aphia.org/ns/traits/feedingtype#non_selective_deposit_feeder,Deposit feeder,,
https://aphia.org/ns/traits/feedingtype#omnivore,concept,https://aphia.org/ns/attribute-trait/Trait,,,Any organism that feeds on a mixed diet of plant and animal material.,https://aphia.org/ns/traits/,,Omnivore,https://kos.lifewatch.eu/thesauri/traits/c_42952c24,
https://aphia.org/ns/traits/feedingtype#predator_on_sessile_prey,concept,https://aphia.org/ns/attribute-trait/Trait,,,"Any organism that feeds by preying on sessile organisms, killing them for food (adapted from Lincoln et al., 1998).",https://aphia.org/ns/traits/,,"Predator, on sessile prey",,https://aphia.org/ns/traits/feedingtype#predator
https://aphia.org/ns/traits/feedingtype#grazer,concept,https://aphia.org/ns/attribute-trait/Trait,,,"Any organism that feeds on herbage, algae or phytoplankton, by consuming the whole food plant or by cropping the entire surface growth in the case of herbage; cf. browsing.",https://aphia.org/ns/traits/,https://aphia.org/ns/traits/feedingtype#interface_grazer,Grazer,https://kos.lifewatch.eu/thesauri/traits/c_d0ad8081,
https://aphia.org/ns/traits/feedingtype#epizoic,concept,https://aphia.org/ns/attribute-trait/Trait,,,"1: Living attached to the body of an animal; used of a non-parasitic animal that lives attached to the outer surface of another animal; epizoan, epizoism, epizoite, epizoon; cf. endozoic. 2: Dispersed by attachment to the surface of an animal; epizoochorous.",https://aphia.org/ns/traits/,,Epizoic,https://kos.lifewatch.eu/thesauri/traits/c_debe5d61,https://aphia.org/ns/traits/feedingtype#symbiotic
https://aphia.org/ns/traits/feedingtype#non_selective_deposit_feeder,concept,https://aphia.org/ns/attribute-trait/Trait,,,"Feeding group category for marine free-living meiobenthic Nematoda. Group 1-B: With cup-shaped, conical or cylindrical mouth-cavity, without any armature. Food obtained as above with additional help from active movements of lips and the anterior part of the mouth-cavity itself. Material available as food as above though larger objects (e.g. diatoms) are now being swallowed. Non-selective deposit-feeders.",https://aphia.org/ns/traits/,,non-selective deposit feeder,,https://aphia.org/ns/traits/feedingtype#deposit_feeder
https://aphia.org/ns/traits/feedingtype#scavenger,concept,https://aphia.org/ns/attribute-trait/Trait,,,Any organism that feeds on carrion or organic refuse.,https://aphia.org/ns/traits/,,Scavenger,,
https://aphia.org/ns/traits/feedingtype#subsurface_deposit_feeder,concept,https://aphia.org/ns/attribute-trait/Trait,,,"Any organism that feeds on fragmented particulate organic matter within the substratum (e.g. Echinocardium cordatum) (adapted from Lincoln et al., 1998).",https://aphia.org/ns/traits/,,Subsurface deposit feeder,,https://aphia.org/ns/traits/feedingtype#deposit_feeder
https://aphia.org/ns/traits/feedingtype#herbivore,concept,https://aphia.org/ns/attribute-trait/Trait,,,Any organism that feeds on plants; phytophagous; also used of protozoans that feed on bacteria and/or othe algae.,https://aphia.org/ns/traits/,,Herbivore,https://kos.lifewatch.eu/thesauri/traits/c_a827a4e2,
https://aphia.org/ns/traits/feedingtype#epigrowth_feeder,concept,https://aphia.org/ns/attribute-trait/Trait,,,"Feeding group category for marine free-living meiobenthic Nematoda. Group 2-A: Mouth-cavity provided with small armature. Food scraped off bigger surfaces, or else the food-object is pierced and the cell-liquid sucked through the hole made in its wall. Epigrowth-feeders.",https://aphia.org/ns/traits/,,Epigrowth feeder,,
https://aphia.org/ns/traits/feedingtype#interface_grazer,concept,https://aphia.org/ns/attribute-trait/Trait,,,,https://aphia.org/ns/traits/,,Interface grazer,,https://aphia.org/ns/traits/feedingtype#grazer
https://aphia.org/ns/traits/feedingtype#commensal,concept,https://aphia.org/ns/attribute-trait/Trait,,,Participating in commensalism. Commensalism is symbiosis in which one species derives benefit from a common food supply whilst the other species is not adversely affected.,https://aphia.org/ns/traits/,,Commensal,,
https://aphia.org/ns/traits/feedingtype#surface_deposit_feeder,concept,https://aphia.org/ns/attribute-trait/Trait,,,"Any organism that feeds on fragmented particulate organic matter on the surface of the substratum (e.g. Corophium volutator) (adapted from Lincoln et al., 1998).",https://aphia.org/ns/traits/,,Surface deposit feeder,,https://aphia.org/ns/traits/feedingtype#deposit_feeder
https://aphia.org/ns/traits/feedingtype#grazer_on_organic_substrates,concept,https://aphia.org/ns/attribute-trait/Trait,,,Grazing on organic substrates.,https://aphia.org/ns/traits/,,"Grazer, on organic substrates.",,https://aphia.org/ns/traits/feedingtype#grazer
https://aphia.org/ns/traits/feedingtype#kleptovore,concept,https://aphia.org/ns/attribute-trait/Trait,,,"Feeding type specifically for Nemertea species that live inside bivalves and steal part of the food that has been filtered by the bivalve. Note that this is different from kleptoparasitism, where the female searches out the prey or stored food of another female, usually of a different species, and takes it for her own offspring (Lawrence, 2005). (The 'kleptovore' feeding type was requested by the Nemertea editors during their WoRMS Editor Workshop in 2017.)",https://aphia.org/ns/traits/,,Kleptovore,,
https://aphia.org/ns/traits/feedingtype#symbiotic,concept,https://aphia.org/ns/attribute-trait/Trait,,,"Participating in symbiosis. Symbiosis is the living together of two organisms; the relationship between two interacting organisms or populations, commonly used to describe all relationships between members of two different species, and also to include intraspecific associations; sometimes restricted to those associations that are mutually beneficial.",https://aphia.org/ns/traits/,https://aphia.org/ns/traits/feedingtype#symbiotic_with_chemosymbionts,Symbiotic,,
https://aphia.org/ns/traits/feedingtype#endocommensal,concept,https://aphia.org/ns/attribute-trait/Trait,,,A commensal symbiont that lives inside of its host.,https://aphia.org/ns/traits/,,Endocommensal,,https://aphia.org/ns/traits/feedingtype#parasitic
https://aphia.org/ns/traits/feedingtype#non_feeding_feedingtype,concept,https://aphia.org/ns/attribute-trait/Trait,,,Non-feeding life stages (e.g. lecithotroph).,https://aphia.org/ns/traits/,,Non-feeding,,
https://aphia.org/ns/traits/feedingtype#grazer_on_periphyton,concept,https://aphia.org/ns/attribute-trait/Trait,,,"Grazing on periphyton. Any organism that feeds on periphyton, a community of plants, animals and associated detritus adhering to and forming a surface coating on stones, plants and other submerged objects (adapted from Lincoln et al., 1998).",https://aphia.org/ns/traits/,,"Grazer, on periphyton",,https://aphia.org/ns/traits/feedingtype#grazer
https://aphia.org/ns/traits/feedingtype#symbiotic_with_chemosymbionts,concept,https://aphia.org/ns/attribute-trait/Trait,,,symbiosis in which a bacterium provides chemically-derived energy and nutrients,https://aphia.org/ns/traits/,,Symbiotic withchemosymbionts,,https://aphia.org/ns/traits/feedingtype#symbiotic
https://aphia.org/ns/traits/feedingtype#predator_on_mobile_prey,concept,https://aphia.org/ns/attribute-trait/Trait,,,"Any organism that feeds by preying on mobile organisms, killing them for food (adapted from Lincoln et al., 1998).",https://aphia.org/ns/traits/,,"Predator, on mobile prey",,https://aphia.org/ns/traits/feedingtype#predator
https://aphia.org/ns/traits/feedingtype#unknown_feedingtype,concept,https://aphia.org/ns/attribute-trait/Trait,,,According to literature it is unknown which feeding type this organism has.,https://aphia.org/ns/traits/,,Unknown feeding type,,
https://aphia.org/ns/traits/feedingtype#grazer_on_algae,concept,https://aphia.org/ns/attribute-trait/Trait,,,"Grazing on algae. Any organism that feeds on algae, by consuming the whole food plant (adapted from Lincoln et al., 1998).",https://aphia.org/ns/traits/,,"Grazer, on algae",,https://aphia.org/ns/traits/feedingtype#grazer
https://aphia.org/ns/traits/feedingtype#selective_deposit_feeder,concept,https://aphia.org/ns/attribute-trait/Trait,,,Feeding group category for marine free-living meiobenthic Nematoda. Group 1-A: Without any mouth-cavity (though sometimes with traces of it). Food obtained mainly by means of the sucking power of the oesophagus. Consistency of material available as food most probable soft or floating. Large and hard particles never found in the intestine. Probably selective deposit-feeders.,https://aphia.org/ns/traits/,,Selective deposit feeder,,https://aphia.org/ns/traits/feedingtype#deposit_feeder
https://aphia.org/ns/traits/feedingtype#carnivore,concept,https://aphia.org/ns/attribute-trait/Trait,,,Flesh-eating; creophagous; sarcophagous.,https://aphia.org/ns/traits/,,Carnivore,https://kos.lifewatch.eu/thesauri/traits/c_a0775f94,
https://aphia.org/ns/traits/feedingtype#predator_omnivore,concept,https://aphia.org/ns/attribute-trait/Trait,,,Feeding group category for marine free-living meiobenthic Nematoda. Group 2-B: With big and powerful armature of different structure. Mostly predators. Prey swallowed whole or pierced by means of spears or teeth and the liquid food sucked and swallowed.,https://aphia.org/ns/traits/,,Predator/omnivore,,
https://aphia.org/ns/traits/feedingtype#xylophagous,concept,https://aphia.org/ns/attribute-trait/Trait,,,"Feeding on wood; dendrophagous; hylophagous; lignivorous; xylophage, xylophagy.",https://aphia.org/ns/traits/,,Xylophagous,,
